courses;weekly_hours;instructors;group
Intro Asian American Studies;3.0;586;0
Intro to Asian Am Pop Culture;3.0;527;0
U.S. Race and Empire;3.0;134;0
US Racial & Ethnic Politics;3.0;343;0
Asian American Youth in Film;3.0;145;0
The Politics of Fashion;3.0;536;0
Constructing Race in America;3.0;219;0
Asian American History;3.0;392;0
Food and Asian Americans;3.0;438;0
Asian Families in America;3.0;14;0
Race and Cultural Diversity;3.0;475;0
Immigration,Law,and Rights;3.0;186;0
Adv Asian Am Undergrad Reading;3.0;89;0
